Module	DEG_Count	NonAuthor_DEG_Count	LDEG_Count	Total_DEG_Count	Module_Gene_Count	DEG+LDEG_Percent_In_Module	DEG_Percent_In_Module
0	173	0	615	788	2380	0.3310924369747899	0.0726890756302521
1	480	0	168	648	2945	0.2200339558573854	0.16298811544991512
2	236	0	83	319	2162	0.14754856614246067	0.1091581868640148
3	328	0	409	737	1848	0.39880952380952384	0.1774891774891775
4	252	0	219	471	1440	0.32708333333333334	0.175
5	210	0	174	384	1256	0.3057324840764331	0.16719745222929935
6	196	0	66	262	995	0.2633165829145729	0.19698492462311556
7	130	0	76	206	834	0.24700239808153476	0.15587529976019185
8	60	0	36	96	484	0.19834710743801653	0.12396694214876033
9	39	0	12	51	435	0.11724137931034483	0.0896551724137931
10	57	0	7	64	351	0.18233618233618235	0.1623931623931624
11	56	0	53	109	345	0.3159420289855073	0.16231884057971013
12	97	0	22	119	323	0.3684210526315789	0.30030959752321984
13	34	0	12	46	241	0.1908713692946058	0.14107883817427386
14	17	0	7	24	212	0.11320754716981132	0.08018867924528301
15	144	0	43	187	209	0.8947368421052632	0.6889952153110048
16	5	0	3	8	198	0.04040404040404041	0.025252525252525252
17	10	0	129	139	196	0.7091836734693877	0.05102040816326531
18	13	0	1	14	196	0.07142857142857142	0.0663265306122449
19	40	0	8	48	175	0.2742857142857143	0.22857142857142856
20	11	0	102	113	171	0.6608187134502924	0.06432748538011696
21	1	0	0	1	157	0.006369426751592357	0.006369426751592357
22	10	0	6	16	156	0.10256410256410256	0.0641025641025641
23	17	0	13	30	152	0.19736842105263158	0.1118421052631579
24	25	0	9	34	142	0.23943661971830985	0.176056338028169
25	11	0	3	14	137	0.10218978102189781	0.08029197080291971
26	16	0	2	18	129	0.13953488372093023	0.12403100775193798
27	28	0	14	42	121	0.34710743801652894	0.23140495867768596
28	16	0	15	31	118	0.2627118644067797	0.13559322033898305
29	46	0	11	57	117	0.48717948717948717	0.39316239316239315
30	13	0	1	14	117	0.11965811965811966	0.1111111111111111
31	9	0	0	9	110	0.08181818181818182	0.08181818181818182
32	17	0	4	21	110	0.19090909090909092	0.15454545454545454
33	14	0	6	20	106	0.18867924528301888	0.1320754716981132
34	15	0	12	27	103	0.2621359223300971	0.14563106796116504
35	2	0	0	2	103	0.019417475728155338	0.019417475728155338
36	9	0	6	15	99	0.15151515151515152	0.09090909090909091
37	17	0	0	17	93	0.1827956989247312	0.1827956989247312
38	14	0	10	24	83	0.2891566265060241	0.1686746987951807
39	13	0	3	16	80	0.2	0.1625
40	5	0	4	9	75	0.12	0.06666666666666667
41	8	0	38	46	70	0.6571428571428571	0.11428571428571428
42	2	0	0	2	69	0.028985507246376812	0.028985507246376812
43	1	0	36	37	63	0.5873015873015873	0.015873015873015872
44	2	0	20	22	62	0.3548387096774194	0.03225806451612903
45	6	0	5	11	59	0.1864406779661017	0.1016949152542373
46	2	0	11	13	57	0.22807017543859648	0.03508771929824561
47	1	0	12	13	57	0.22807017543859648	0.017543859649122806
48	1	0	11	12	50	0.24	0.02
49	2	0	11	13	49	0.2653061224489796	0.04081632653061224
50	8	0	1	9	47	0.19148936170212766	0.1702127659574468
51	5	0	9	14	45	0.3111111111111111	0.1111111111111111
52	5	0	11	16	44	0.36363636363636365	0.11363636363636363
53	34	0	5	39	43	0.9069767441860465	0.7906976744186046
54	5	0	15	20	42	0.47619047619047616	0.11904761904761904
55	3	0	1	4	41	0.0975609756097561	0.07317073170731707
56	6	0	3	9	41	0.21951219512195122	0.14634146341463414
57	1	0	6	7	40	0.175	0.025
58	2	0	9	11	38	0.2894736842105263	0.05263157894736842
59	1	0	11	12	38	0.3157894736842105	0.02631578947368421
60	11	0	5	16	36	0.4444444444444444	0.3055555555555556
61	5	0	1	6	36	0.16666666666666666	0.1388888888888889
62	5	0	14	19	35	0.5428571428571428	0.14285714285714285
63	1	0	11	12	35	0.34285714285714286	0.02857142857142857
64	0	0	6	6	35	0.17142857142857143	0.0
65	1	0	9	10	34	0.29411764705882354	0.029411764705882353
66	4	0	8	12	32	0.375	0.125
67	1	0	11	12	30	0.4	0.03333333333333333
68	0	0	10	10	27	0.37037037037037035	0.0
69	2	0	1	3	27	0.1111111111111111	0.07407407407407407
70	9	0	5	14	25	0.56	0.36
71	0	0	4	4	24	0.16666666666666666	0.0
72	6	0	11	17	24	0.7083333333333334	0.25
73	2	0	4	6	23	0.2608695652173913	0.08695652173913043
74	0	0	8	8	23	0.34782608695652173	0.0
75	0	0	9	9	22	0.4090909090909091	0.0
76	0	0	7	7	21	0.3333333333333333	0.0
77	2	0	2	4	21	0.19047619047619047	0.09523809523809523
