Module	Observed_DEGs	Expected_DEGs	Fold_Change	Fisher_Test
0	173	340.67460317460313	0.5078159580663949	4.964797367984453e-18
1	480	421.54903628117916	1.1386575669451495	1.554352222953662e-10
2	236	309.4699546485261	0.7625942242697905	0.018750294647175057
3	328	264.5238095238095	1.23996399639964	1.4534163281732635e-11
4	252	206.12244897959187	1.2225742574257423	2.1002686491671724e-08
5	210	179.78458049886623	1.1680645771583527	9.279552298935576e-06
6	196	142.4248866213152	1.376163988258122	5.722940291095037e-11
7	130	119.37925170068027	1.0889664506018948	0.007724895370449753
8	60	69.28004535147393	0.8660502413877751	1.0
9	39	62.26615646258503	0.6263434619324002	0.023206785776385234
10	57	50.24234693877551	1.1345011424219344	0.041735418959617694
11	56	49.38350340136055	1.1339819199311234	0.04031031384033943
12	97	46.234410430839	2.098004475370138	5.193321669376542e-17
13	34	34.4968820861678	0.9855963189679964	0.43444954854636764
14	17	30.34580498866213	0.5602092284700169	0.04725419166299502
15	144	29.916383219954646	4.813416078449951	1.6035275471891411e-80
16	5	28.341836734693878	0.1764176417641764	8.068303242217242e-07
17	10	28.055555555555554	0.3564356435643565	0.0007156857278135194
18	13	28.055555555555554	0.4633663366336634	0.009199834771395994
19	40	25.04960317460317	1.5968316831683171	0.00012968498267619806
20	11	24.477040816326536	0.4494007295466388	0.014277772472395537
21	1	22.47307256235828	0.044497698177461055	3.4209300681702825e-08
22	10	22.32993197278911	0.4478293983244479	0.020262126454623226
23	17	21.757369614512474	0.7813444502344971	0.712526826422298
24	25	20.325963718820862	1.2299539813136242	0.07420195392587181
25	11	19.610260770975056	0.5609308376093084	0.12062553014915815
26	16	18.46513605442177	0.8664978125719548	1.0
27	28	17.320011337868483	1.61662711725718	0.0012759938980244486
28	16	16.890589569161	0.9472730323879843	0.6769550731647667
29	46	16.747448979591837	2.7466869763899466	2.0947713786920447e-13
30	13	16.747448979591837	0.7762376237623763	0.7792227032285448
31	9	15.74546485260771	0.5715931593159316	0.19424901363593894
32	17	15.74546485260771	1.0796759675967595	0.3843988257472948
33	14	15.172902494331066	0.9226975527741453	0.7695510193153121
34	15	14.743480725623582	1.017398827261367	0.5492658094245895
35	2	14.743480725623582	0.13565317696818227	0.0002495357535949194
36	9	14.170918367346939	0.6351035103510351	0.36219677416620255
37	17	13.312074829931973	1.2770360907058447	0.11371294008286657
38	14	11.880668934240363	1.1783848264344505	0.24264700113216175
39	13	11.45124716553288	1.1352475247524751	0.3090107395084327
40	5	10.735544217687076	0.46574257425742566	0.16003586616475785
41	8	10.01984126984127	0.7984158415841583	1.0
42	2	9.876700680272108	0.20249677141627206	0.00997647962466874
43	1	9.017857142857144	0.11089108910891088	0.0036689349972927683
44	2	8.87471655328798	0.2253593101245609	0.020418618913195512
45	6	8.4452947845805	0.7104547742909882	0.6969109463110482
46	2	8.159013605442176	0.24512767066180305	0.042175541715783055
47	1	8.159013605442176	0.12256383533090152	0.008047150954549125
48	1	7.157029478458051	0.1397227722772277	0.017358370077001646
49	2	7.013888888888888	0.2851485148514852	0.08261402515131536
50	8	6.727607709750567	1.1891299768274701	0.3733197738820782
51	5	6.441326530612246	0.7762376237623761	1.0
52	5	6.2981859410430845	0.7938793879387938	1.0
53	34	6.155045351473923	5.5239235551462125	3.1598290472000394e-23
54	5	6.011904761904762	0.8316831683168316	1.0
55	3	5.868764172335601	0.5111808741849794	0.4759721049304234
56	6	5.868764172335601	1.0223617483699587	0.6365608322022449
57	1	5.72562358276644	0.17465346534653464	0.05466918970488366
58	2	5.439342403628118	0.3676915059927045	0.2238558192515563
59	1	5.439342403628118	0.18384575299635225	0.08130652913822156
60	11	5.153061224489795	2.134653465346535	0.003496177719095649
61	5	5.153061224489795	0.9702970297029705	0.7996049340783296
62	5	5.009920634920635	0.9980198019801979	0.7963698841605849
63	1	5.009920634920635	0.1996039603960396	0.11916064821703695
64	0	5.009920634920635	0.0	0.01806777420576517
65	1	4.866780045351475	0.20547466511357013	0.1168390355238251
66	4	4.580498866213152	0.8732673267326732	1.0
67	1	4.2942176870748305	0.23287128712871283	0.1684915034564618
68	0	3.864795918367347	0.0	0.04168887672240218
69	2	3.864795918367347	0.5174917491749175	0.5692818610481999
70	9	3.5785147392290253	2.5150099009900986	0.0023181833749801734
71	0	3.435374149659864	0.0	0.06429000375730146
72	6	3.435374149659864	1.7465346534653465	0.11094320196774038
73	2	3.292233560090703	0.6074903142488162	0.7604325572719515
74	0	3.292233560090703	0.0	0.10504934563755583
75	0	3.1490929705215422	0.0	0.10121239763136018
76	0	3.005952380952381	0.0	0.09953876141804133
77	2	3.005952380952381	0.6653465346534654	1.0
