Module	DEG_Count	NonAuthor_DEG_Count	LDEG_Count	Total_DEG_Count	Module_Gene_Count	DEG+LDEG_Percent_In_Module	DEG_Percent_In_Module
0	95	0	452	547	2380	0.22983193277310923	0.03991596638655462
1	251	0	162	413	2945	0.1402376910016978	0.08522920203735145
2	95	0	109	204	2162	0.09435707678075855	0.04394079555966698
3	167	0	319	486	1848	0.262987012987013	0.09036796536796536
4	113	0	167	280	1440	0.19444444444444445	0.07847222222222222
5	92	0	128	220	1256	0.1751592356687898	0.0732484076433121
6	111	0	54	165	995	0.1658291457286432	0.11155778894472362
7	70	0	62	132	834	0.15827338129496402	0.08393285371702638
8	35	0	27	62	484	0.128099173553719	0.07231404958677685
9	13	0	10	23	435	0.052873563218390804	0.029885057471264367
10	42	0	5	47	351	0.1339031339031339	0.11965811965811966
11	26	0	41	67	345	0.19420289855072465	0.07536231884057971
12	55	0	27	82	323	0.25386996904024767	0.17027863777089783
13	12	0	11	23	241	0.0954356846473029	0.04979253112033195
14	4	0	6	10	212	0.04716981132075472	0.018867924528301886
15	54	0	32	86	209	0.41148325358851673	0.2583732057416268
16	4	0	3	7	198	0.03535353535353535	0.020202020202020204
17	1	0	36	37	196	0.18877551020408162	0.00510204081632653
18	5	0	0	5	196	0.025510204081632654	0.025510204081632654
19	34	0	9	43	175	0.24571428571428572	0.19428571428571428
20	3	0	41	44	171	0.2573099415204678	0.017543859649122806
21	3	0	0	3	157	0.01910828025477707	0.01910828025477707
22	6	0	3	9	156	0.057692307692307696	0.038461538461538464
23	14	0	11	25	152	0.16447368421052633	0.09210526315789473
24	11	0	6	17	142	0.11971830985915492	0.07746478873239436
25	7	0	2	9	137	0.06569343065693431	0.051094890510948905
26	4	0	6	10	129	0.07751937984496124	0.031007751937984496
27	16	0	14	30	121	0.24793388429752067	0.1322314049586777
28	7	0	9	16	118	0.13559322033898305	0.059322033898305086
29	9	0	18	27	117	0.23076923076923078	0.07692307692307693
30	10	0	1	11	117	0.09401709401709402	0.08547008547008547
31	4	0	0	4	110	0.03636363636363636	0.03636363636363636
32	8	0	1	9	110	0.08181818181818182	0.07272727272727272
33	5	0	5	10	106	0.09433962264150944	0.04716981132075472
34	7	0	13	20	103	0.1941747572815534	0.06796116504854369
35	2	0	0	2	103	0.019417475728155338	0.019417475728155338
36	4	0	5	9	99	0.09090909090909091	0.04040404040404041
37	8	0	1	9	93	0.0967741935483871	0.08602150537634409
38	7	0	8	15	83	0.18072289156626506	0.08433734939759036
39	5	0	4	9	80	0.1125	0.0625
40	6	0	4	10	75	0.13333333333333333	0.08
41	3	0	10	13	70	0.18571428571428572	0.04285714285714286
42	0	0	0	0	69	0.0	0.0
43	0	0	5	5	63	0.07936507936507936	0.0
44	1	0	10	11	62	0.1774193548387097	0.016129032258064516
45	2	0	4	6	59	0.1016949152542373	0.03389830508474576
46	3	0	4	7	57	0.12280701754385964	0.05263157894736842
47	1	0	18	19	57	0.3333333333333333	0.017543859649122806
48	1	0	16	17	50	0.34	0.02
49	1	0	22	23	49	0.46938775510204084	0.02040816326530612
50	5	0	1	6	47	0.1276595744680851	0.10638297872340426
51	5	0	7	12	45	0.26666666666666666	0.1111111111111111
52	14	0	11	25	44	0.5681818181818182	0.3181818181818182
53	24	0	7	31	43	0.7209302325581395	0.5581395348837209
54	2	0	6	8	42	0.19047619047619047	0.047619047619047616
55	12	0	1	13	41	0.3170731707317073	0.2926829268292683
56	6	0	3	9	41	0.21951219512195122	0.14634146341463414
57	0	0	5	5	40	0.125	0.0
58	1	0	3	4	38	0.10526315789473684	0.02631578947368421
59	1	0	18	19	38	0.5	0.02631578947368421
60	6	0	7	13	36	0.3611111111111111	0.16666666666666666
61	1	0	2	3	36	0.08333333333333333	0.027777777777777776
62	3	0	8	11	35	0.3142857142857143	0.08571428571428572
63	1	0	19	20	35	0.5714285714285714	0.02857142857142857
64	2	0	7	9	35	0.2571428571428571	0.05714285714285714
65	0	0	4	4	34	0.11764705882352941	0.0
66	2	0	8	10	32	0.3125	0.0625
67	1	0	7	8	30	0.26666666666666666	0.03333333333333333
68	0	0	7	7	27	0.25925925925925924	0.0
69	11	0	0	11	27	0.4074074074074074	0.4074074074074074
70	1	0	17	18	25	0.72	0.04
71	0	0	3	3	24	0.125	0.0
72	4	0	9	13	24	0.5416666666666666	0.16666666666666666
73	1	0	3	4	23	0.17391304347826086	0.043478260869565216
74	0	0	9	9	23	0.391304347826087	0.0
75	0	0	5	5	22	0.22727272727272727	0.0
76	0	0	4	4	21	0.19047619047619047	0.0
77	0	0	3	3	21	0.14285714285714285	0.0
