Module	DEG_Count	NonAuthor_DEG_Count	LDEG_Count	Total_DEG_Count	Module_Gene_Count	DEG+LDEG_Percent_In_Module	DEG_Percent_In_Module
0	86	0	251	337	2380	0.14159663865546218	0.03613445378151261
1	187	0	112	299	2945	0.10152801358234295	0.06349745331069609
2	99	0	58	157	2162	0.07261794634597594	0.04579093432007401
3	149	0	191	340	1848	0.18398268398268397	0.08062770562770563
4	109	0	124	233	1440	0.16180555555555556	0.07569444444444444
5	104	0	88	192	1256	0.15286624203821655	0.08280254777070063
6	115	0	38	153	995	0.15376884422110554	0.11557788944723618
7	73	0	53	126	834	0.1510791366906475	0.08752997601918465
8	33	0	12	45	484	0.09297520661157024	0.06818181818181818
9	16	0	10	26	435	0.059770114942528735	0.0367816091954023
10	42	0	5	47	351	0.1339031339031339	0.11965811965811966
11	25	0	33	58	345	0.1681159420289855	0.07246376811594203
12	43	0	23	66	323	0.2043343653250774	0.13312693498452013
13	17	0	6	23	241	0.0954356846473029	0.07053941908713693
14	7	0	5	12	212	0.05660377358490566	0.0330188679245283
15	83	0	23	106	209	0.507177033492823	0.39712918660287083
16	2	0	1	3	198	0.015151515151515152	0.010101010101010102
17	7	0	20	27	196	0.1377551020408163	0.03571428571428571
18	4	0	0	4	196	0.02040816326530612	0.02040816326530612
19	34	0	7	41	175	0.2342857142857143	0.19428571428571428
20	3	0	25	28	171	0.16374269005847952	0.017543859649122806
21	1	0	0	1	157	0.006369426751592357	0.006369426751592357
22	5	0	4	9	156	0.057692307692307696	0.03205128205128205
23	11	0	9	20	152	0.13157894736842105	0.07236842105263158
24	10	0	4	14	142	0.09859154929577464	0.07042253521126761
25	4	0	2	6	137	0.043795620437956206	0.029197080291970802
26	7	0	0	7	129	0.05426356589147287	0.05426356589147287
27	9	0	8	17	121	0.14049586776859505	0.0743801652892562
28	5	0	9	14	118	0.11864406779661017	0.0423728813559322
29	42	0	6	48	117	0.41025641025641024	0.358974358974359
30	8	0	0	8	117	0.06837606837606838	0.06837606837606838
31	4	0	0	4	110	0.03636363636363636	0.03636363636363636
32	11	0	2	13	110	0.11818181818181818	0.1
33	5	0	6	11	106	0.10377358490566038	0.04716981132075472
34	6	0	9	15	103	0.14563106796116504	0.05825242718446602
35	0	0	0	0	103	0.0	0.0
36	3	0	5	8	99	0.08080808080808081	0.030303030303030304
37	4	0	0	4	93	0.043010752688172046	0.043010752688172046
38	5	0	4	9	83	0.10843373493975904	0.060240963855421686
39	7	0	2	9	80	0.1125	0.0875
40	1	0	1	2	75	0.02666666666666667	0.013333333333333334
41	5	0	9	14	70	0.2	0.07142857142857142
42	1	0	0	1	69	0.014492753623188406	0.014492753623188406
43	0	0	0	0	63	0.0	0.0
44	0	0	9	9	62	0.14516129032258066	0.0
45	3	0	1	4	59	0.06779661016949153	0.05084745762711865
46	0	0	12	12	57	0.21052631578947367	0.0
47	0	0	6	6	57	0.10526315789473684	0.0
48	2	0	5	7	50	0.14	0.04
49	5	0	6	11	49	0.22448979591836735	0.10204081632653061
50	6	0	1	7	47	0.14893617021276595	0.1276595744680851
51	1	0	6	7	45	0.15555555555555556	0.022222222222222223
52	6	0	9	15	44	0.3409090909090909	0.13636363636363635
53	29	0	2	31	43	0.7209302325581395	0.6744186046511628
54	3	0	10	13	42	0.30952380952380953	0.07142857142857142
55	5	0	0	5	41	0.12195121951219512	0.12195121951219512
56	2	0	0	2	41	0.04878048780487805	0.04878048780487805
57	1	0	2	3	40	0.075	0.025
58	1	0	6	7	38	0.18421052631578946	0.02631578947368421
59	0	0	6	6	38	0.15789473684210525	0.0
60	9	0	5	14	36	0.3888888888888889	0.25
61	3	0	1	4	36	0.1111111111111111	0.08333333333333333
62	1	0	9	10	35	0.2857142857142857	0.02857142857142857
63	2	0	3	5	35	0.14285714285714285	0.05714285714285714
64	1	0	11	12	35	0.34285714285714286	0.02857142857142857
65	0	0	2	2	34	0.058823529411764705	0.0
66	2	0	4	6	32	0.1875	0.0625
67	1	0	9	10	30	0.3333333333333333	0.03333333333333333
68	0	0	9	9	27	0.3333333333333333	0.0
69	7	0	0	7	27	0.25925925925925924	0.25925925925925924
70	6	0	7	13	25	0.52	0.24
71	0	0	3	3	24	0.125	0.0
72	6	0	6	12	24	0.5	0.25
73	1	0	1	2	23	0.08695652173913043	0.043478260869565216
74	0	0	8	8	23	0.34782608695652173	0.0
75	0	0	3	3	22	0.13636363636363635	0.0
76	0	0	7	7	21	0.3333333333333333	0.0
77	1	0	2	3	21	0.14285714285714285	0.047619047619047616
