Module	DEG_Count	NonAuthor_DEG_Count	LDEG_Count	Total_DEG_Count	Module_Gene_Count	DEG+LDEG_Percent_In_Module	DEG_Percent_In_Module
0	17	0	343	360	2380	0.15126050420168066	0.007142857142857143
1	97	0	114	211	2945	0.07164685908319185	0.03293718166383701
2	36	0	100	136	2162	0.06290471785383904	0.016651248843663275
3	50	0	217	267	1848	0.1444805194805195	0.027056277056277056
4	51	0	138	189	1440	0.13125	0.035416666666666666
5	44	0	92	136	1256	0.10828025477707007	0.03503184713375796
6	39	0	42	81	995	0.0814070351758794	0.03919597989949749
7	25	0	50	75	834	0.08992805755395683	0.02997601918465228
8	17	0	18	35	484	0.07231404958677685	0.03512396694214876
9	7	0	13	20	435	0.04597701149425287	0.016091954022988506
10	5	0	4	9	351	0.02564102564102564	0.014245014245014245
11	10	0	25	35	345	0.10144927536231885	0.028985507246376812
12	127	0	29	156	323	0.48297213622291024	0.3931888544891641
13	7	0	7	14	241	0.058091286307053944	0.029045643153526972
14	3	0	5	8	212	0.03773584905660377	0.014150943396226415
15	22	0	27	49	209	0.23444976076555024	0.10526315789473684
16	4	0	1	5	198	0.025252525252525252	0.020202020202020204
17	3	0	31	34	196	0.17346938775510204	0.015306122448979591
18	2	0	0	2	196	0.01020408163265306	0.01020408163265306
19	1	0	9	10	175	0.05714285714285714	0.005714285714285714
20	1	0	29	30	171	0.17543859649122806	0.005847953216374269
21	1	0	0	1	157	0.006369426751592357	0.006369426751592357
22	3	0	2	5	156	0.03205128205128205	0.019230769230769232
23	6	0	12	18	152	0.11842105263157894	0.039473684210526314
24	2	0	4	6	142	0.04225352112676056	0.014084507042253521
25	0	0	4	4	137	0.029197080291970802	0.0
26	3	0	4	7	129	0.05426356589147287	0.023255813953488372
27	3	0	11	14	121	0.11570247933884298	0.024793388429752067
28	1	0	11	12	118	0.1016949152542373	0.00847457627118644
29	27	0	24	51	117	0.4358974358974359	0.23076923076923078
30	8	0	2	10	117	0.08547008547008547	0.06837606837606838
31	2	0	0	2	110	0.01818181818181818	0.01818181818181818
32	1	0	4	5	110	0.045454545454545456	0.00909090909090909
33	0	0	8	8	106	0.07547169811320754	0.0
34	2	0	9	11	103	0.10679611650485436	0.019417475728155338
35	0	0	0	0	103	0.0	0.0
36	1	0	4	5	99	0.050505050505050504	0.010101010101010102
37	5	0	0	5	93	0.053763440860215055	0.053763440860215055
38	2	0	7	9	83	0.10843373493975904	0.024096385542168676
39	3	0	5	8	80	0.1	0.0375
40	2	0	0	2	75	0.02666666666666667	0.02666666666666667
41	0	0	8	8	70	0.11428571428571428	0.0
42	0	0	0	0	69	0.0	0.0
43	0	0	3	3	63	0.047619047619047616	0.0
44	0	0	5	5	62	0.08064516129032258	0.0
45	1	0	4	5	59	0.0847457627118644	0.01694915254237288
46	0	0	3	3	57	0.05263157894736842	0.0
47	1	0	16	17	57	0.2982456140350877	0.017543859649122806
48	0	0	14	14	50	0.28	0.0
49	0	0	15	15	49	0.30612244897959184	0.0
50	0	0	3	3	47	0.06382978723404255	0.0
51	0	0	7	7	45	0.15555555555555556	0.0
52	6	0	14	20	44	0.45454545454545453	0.13636363636363635
53	2	0	5	7	43	0.16279069767441862	0.046511627906976744
54	1	0	10	11	42	0.2619047619047619	0.023809523809523808
55	1	0	5	6	41	0.14634146341463414	0.024390243902439025
56	1	0	4	5	41	0.12195121951219512	0.024390243902439025
57	0	0	2	2	40	0.05	0.0
58	0	0	4	4	38	0.10526315789473684	0.0
59	1	0	13	14	38	0.3684210526315789	0.02631578947368421
60	13	0	8	21	36	0.5833333333333334	0.3611111111111111
61	4	0	4	8	36	0.2222222222222222	0.1111111111111111
62	4	0	7	11	35	0.3142857142857143	0.11428571428571428
63	0	0	13	13	35	0.37142857142857144	0.0
64	1	0	8	9	35	0.2571428571428571	0.02857142857142857
65	0	0	3	3	34	0.08823529411764706	0.0
66	1	0	2	3	32	0.09375	0.03125
67	1	0	6	7	30	0.23333333333333334	0.03333333333333333
68	2	0	4	6	27	0.2222222222222222	0.07407407407407407
69	0	0	3	3	27	0.1111111111111111	0.0
70	2	0	18	20	25	0.8	0.08
71	0	0	3	3	24	0.125	0.0
72	2	0	9	11	24	0.4583333333333333	0.08333333333333333
73	0	0	6	6	23	0.2608695652173913	0.0
74	1	0	7	8	23	0.34782608695652173	0.043478260869565216
75	0	0	1	1	22	0.045454545454545456	0.0
76	0	0	4	4	21	0.19047619047619047	0.0
77	0	0	2	2	21	0.09523809523809523	0.0
